claim_id,claim_date,sale_id,repair_status
CL-58750,2024-01-30,YG-8782,Completed
CL-8874,2024-06-25,QX-999001,Pending
CL-14486,2024-08-13,JG-46890,Pending
CL-42187,2024-09-19,XJ-1731,Pending
CL-37590,2024-09-16,FG-95080,Completed
CL-30514,2024-09-05,II-3954,Pending
CL-47122,2024-07-07,ES-7238,Completed
CL-5722,2024-03-10,YO-701453,In Progress
CL-75561,2024-01-24,JB-46303,Completed
CL-3634,2024-10-26,QY-9761,In Progress
CL-8719,2024-07-14,RR-9679,Rejected
CL-49704,2024-04-03,PT-825391,Rejected
CL-35213,2024-01-23,JY-9420,Completed
CL-27667,2024-10-06,WB-9150,Pending
CL-7124,2024-01-04,UN-941274,Completed
CL-3763,2024-02-19,KL-629620,Completed
CL-6383,2024-02-05,LH-1755,Pending
CL-6345,2024-04-16,LK-385613,In Progress
CL-78615,2024-11-09,JM-75607,Completed
CL-29490,2024-03-14,UJ-07947,Completed
CL-27770,2024-10-07,BG-145539,Pending
CL-12189,2024-11-12,NY-82428,Completed
CL-34828,2024-04-10,HL-0239,Rejected
CL-3992,2024-05-17,VT-954957,Pending
CL-9801,2024-02-17,KE-5276,Pending
CL-13943,2024-06-22,DL-0438,Completed
CL-23879,2024-05-04,GN-099683,In Progress
CL-655,2024-02-17,KD-9288,Rejected
CL-4071,2024-06-25,KZ-5319,Pending
CL-7338,2024-05-01,HL-8173,In Progress
CL-44291,2024-10-05,SJ-237458,Pending
CL-8833,2024-06-25,CA-4116,Completed
CL-81539,2024-07-05,YD-9562,Rejected
CL-95282,2024-08-01,AY-284049,Pending
CL-77130,2024-05-21,JK-48840,Completed
CL-62847,2024-08-20,DG-41810,Pending
CL-29479,2024-01-13,GA-51592,In Progress
CL-63006,2024-02-21,XR-468203,Pending
CL-7637,2024-08-31,PB-49088,Pending
CL-16284,2024-03-03,NQ-18124,Completed
CL-4847,2024-07-09,KW-685823,In Progress
CL-99597,2024-02-17,XW-88833,Pending
CL-94274,2024-01-23,GS-514137,Rejected
CL-31307,2024-01-02,XZ-59032,Pending
CL-10956,2024-06-27,TV-7529,Completed
CL-94965,2024-06-15,PN-2930,Completed
CL-12667,2024-03-19,MO-0340,Pending
CL-46503,2024-04-05,AJ-06146,Pending
CL-4210,2024-08-12,QY-3310,Completed
CL-7319,2024-07-18,GP-0357,Completed
CL-72333,2024-03-11,WF-7320,Rejected
CL-60781,2024-02-02,TY-94722,Rejected
CL-44251,2024-11-08,IY-24756,In Progress
CL-27142,2024-03-18,QG-736417,Pending
CL-94775,2024-01-31,FL-9609,Pending
CL-49125,2024-05-29,JC-31529,Completed
CL-57103,2024-09-26,HA-2666,Completed
CL-6811,2024-08-30,SO-324887,Pending
CL-5201,2024-08-04,OQ-95189,Pending
CL-10004,2024-03-25,XH-3411,Completed
CL-68937,2024-09-23,JF-8355,In Progress
CL-8853,2024-05-08,NH-656788,Rejected
CL-49718,2024-10-16,VT-69104,Pending
CL-45259,2024-09-26,SO-60574,In Progress
CL-89119,2024-04-16,IA-66554,Completed
CL-19604,2024-02-12,MD-2087,Pending
CL-60046,2024-02-16,CN-1026,In Progress
CL-74641,2024-02-16,RS-471854,Pending
CL-28544,2024-10-26,SV-63203,Completed
CL-40548,2024-03-12,TZ-663653,Pending
CL-8793,2024-02-06,RD-066638,In Progress
CL-37862,2024-10-08,XG-052506,In Progress
CL-96660,2024-05-07,NI-845862,Rejected
CL-20699,2024-09-26,ND-096052,In Progress
CL-7073,2024-09-13,LW-55109,Completed
CL-44319,2024-06-11,HF-13620,Rejected
CL-40074,2024-01-11,CA-6813,Pending
CL-16423,2024-06-23,TW-7702,Completed
CL-94922,2024-06-30,AQ-91241,Pending
CL-6524,2024-06-18,UV-7022,Rejected
CL-53575,2024-05-11,JK-683660,Completed
CL-14268,2024-03-22,JY-576850,Completed
CL-73443,2024-04-29,YF-4837,In Progress
CL-49883,2024-06-13,BQ-880657,Pending
CL-84737,2024-08-10,KT-69841,Pending
CL-3218,2024-01-16,VV-767827,In Progress
CL-50405,2024-01-17,IO-1904,Rejected
CL-57662,2024-09-01,DG-183369,Completed
CL-8058,2024-09-18,TN-78052,Rejected
CL-25340,2024-04-03,GB-488519,In Progress
CL-61785,2024-07-05,LB-17602,In Progress
CL-40517,2024-05-31,WR-243901,Rejected
CL-1812,2024-02-22,WY-192032,Rejected
CL-4564,2024-09-24,SH-6365,Completed
CL-73600,2024-07-06,HE-35311,Pending
CL-35321,2024-05-21,FC-45009,Pending
CL-96296,2024-04-07,RH-38253,Rejected
CL-23197,2024-01-08,SE-09386,Rejected
CL-83081,2024-10-22,AW-4646,Rejected
CL-3575,2024-08-10,ZZ-561286,Pending
CL-39395,2024-10-25,ZZ-98411,Completed
CL-28566,2024-07-30,AJ-69063,Pending
CL-710,2024-05-31,XV-90891,Completed
CL-17296,2024-10-30,TF-94175,Completed
CL-59379,2024-10-23,WX-223461,Completed
CL-51734,2024-03-01,QC-240686,Completed
CL-961,2024-08-18,HO-241059,Pending
CL-7527,2024-02-06,IX-372870,Pending
CL-96878,2024-05-03,DL-474435,In Progress
CL-71207,2024-05-06,LK-0987,In Progress
CL-31991,2024-09-24,CN-27238,Rejected
CL-564,2024-02-18,CY-799721,Pending
CL-66264,2024-04-21,AS-09831,Rejected
CL-33421,2024-03-31,HG-95110,In Progress
CL-74804,2024-04-02,SU-473383,In Progress
CL-50887,2024-09-04,LS-57758,Pending
CL-9635,2024-09-26,NC-215597,In Progress
CL-4427,2024-03-12,KO-54496,Pending
CL-6695,2024-01-23,ER-49949,Rejected
CL-29652,2024-09-30,RK-4251,Rejected
CL-49673,2024-10-16,LG-4505,Pending
CL-66256,2024-04-29,RD-758696,Rejected
CL-26778,2024-08-07,WI-5055,In Progress
CL-26033,2024-09-03,QR-134549,Completed
CL-2001,2024-09-04,ZQ-783528,Completed
CL-39966,2024-05-27,KN-78711,Rejected
CL-65265,2024-11-02,MQ-125099,Pending
CL-79062,2024-06-20,LG-464493,Pending
CL-67938,2024-08-28,EN-852565,Rejected
CL-41107,2024-02-05,AQ-5248,Pending
CL-55500,2024-02-08,DG-687926,Completed
CL-4583,2024-07-29,AH-2631,Pending
CL-88527,2024-08-14,TH-49294,In Progress
CL-6766,2024-06-14,VU-0882,Completed
CL-27436,2024-01-23,HS-355291,In Progress
CL-15355,2024-03-25,IT-16034,Completed
CL-92268,2024-04-26,GN-4433,Completed
CL-6952,2024-05-24,IY-238906,In Progress
CL-26254,2024-01-02,VP-327181,In Progress
CL-16876,2024-02-01,TY-9224,Completed
CL-91407,2024-02-11,XG-8174,In Progress
CL-9269,2024-02-21,RG-0326,Completed
CL-5992,2024-08-14,TG-0822,Pending
CL-88035,2024-01-15,CJ-922471,Pending
CL-51886,2024-06-12,NR-04791,Pending
CL-28295,2024-09-21,KG-09039,In Progress
CL-6248,2024-04-19,BU-698705,Completed
CL-28716,2024-04-03,QV-27908,Rejected
CL-49774,2024-09-25,JR-161894,In Progress
CL-9035,2024-04-24,IP-49195,Pending
CL-79873,2024-10-23,BE-37533,In Progress
CL-90695,2024-01-29,PB-36366,Completed
CL-22107,2024-10-23,PU-4596,Rejected
CL-88234,2024-07-13,XQ-8740,Pending
